"id","planet","lefty","major","age","hs.gpa","income","gpa"
1,"Saturn",FALSE,"Business Management",44,4,NA,3.969
2,"Saturn",TRUE,"International Studies",22,3.429,11494.3760242267,3.236
3,"Saturn",FALSE,"Advanced Manufacturing",22,0,23.1085681173856,0.05
4,"Jupiter",FALSE,"Music Recording Technology",23,4,NA,3.964
5,"Jupiter",TRUE,"Energy Management",53,0,13.8308833589666,0.031
6,"Earth",FALSE,"Music Recording Technology",23,4,300916.82008593,3.51
7,"Jupiter",FALSE,"Surgical Technician",40,4,NA,3.615
8,"Saturn",TRUE,"American Sign Language",22,3.885,42077.2701610498,2.873
9,"Jupiter",TRUE,"Music Recording Technology",43,4,NA,4
10,"Jupiter",FALSE,"Visual Arts Illustration Spec",51,3.174,5889.54228879028,2.599
11,"Uranus",TRUE,"Music Recording Technology",34,4,NA,3.905
12,"Jupiter",FALSE,"Advanced Manufacturing",20,3.255,11872.0677407854,2.35
13,"Jupiter",TRUE,"Transition to Teaching/ARL",22,4,NA,3.997
14,"Saturn",FALSE,"American Sign Language",21,0,16.9870449289253,0
15,"Saturn",FALSE,"Surgical Technician",21,4,NA,3.417
16,"Jupiter",FALSE,"Music Recording Technology",44,3.827,NA,3.229
17,"Jupiter",FALSE,"Atmospheric Sciences",44,4,NA,3.757
18,"Jupiter",FALSE,"American Sign Language",46,3.472,NA,3.987
19,"Saturn",TRUE,"Dental Hygiene",21,3.147,8641.01005623016,2.243
20,"Jupiter",FALSE,"Respiratory Therapy",22,3.618,NA,3.656
21,"Jupiter",FALSE,"Music Recording Technology",20,4,23283.3938932887,3.497
22,"Neptune",TRUE,"Visual Arts Illustration Spec",45,4,NA,3.862
23,"Jupiter",FALSE,"American Sign Language",53,4,NA,3.989
24,"Jupiter",FALSE,"Advanced Manufacturing",22,4,19176.1023334843,2.971
25,"Jupiter",FALSE,"Surgical Technician",43,4,NA,3.807
26,"Jupiter",FALSE,"Music Recording Technology",55,4,NA,3.828
27,"Jupiter",FALSE,"Music Recording Technology",40,3.204,NA,2.707
28,"Jupiter",FALSE,"General Engineering",43,1.729,702.50986057814,2.375
29,"Saturn",FALSE,"English Studies",22,2.847,NA,2.304
30,"Saturn",FALSE,"Business Administration",22,4,NA,3.967
31,"Saturn",FALSE,"International Studies",47,4,NA,3.49
32,"Jupiter",FALSE,"International Studies",20,4,12606.2497642649,3.02
33,"Jupiter",FALSE,"Music Recording Technology",32,4,NA,4
34,"Jupiter",FALSE,"Architectural Technology",22,4,NA,3.957
35,"Saturn",TRUE,"Surgical Technician",26,4,NA,3.981
36,"Saturn",FALSE,"Fitness Technician",21,1.999,NA,2.075
37,"Jupiter",TRUE,"Writing",28,4,NA,3.985
38,"Saturn",TRUE,"English Studies",20,4,NA,3.334
39,"Jupiter",FALSE,"International Studies",22,4,NA,3.763
40,"Jupiter",TRUE,"Music Recording Technology",43,4,351513.428463429,4
41,"Jupiter",FALSE,"International Studies",21,4,NA,4
42,"Jupiter",FALSE,"Music Recording Technology",18,4,29390.8841059819,2.812
43,"Jupiter",FALSE,"Social Work",58,4,NA,4
44,"Jupiter",TRUE,"Engineering/Electrical",45,4,NA,3.729
45,"Jupiter",TRUE,"Visual Arts - Photograph Spec",43,4,NA,3.635
46,"Jupiter",FALSE,"Machining Technology",23,2.876,NA,3.382
47,"Jupiter",FALSE,"Visual Arts Illustration Spec",22,4,255450.273018023,3.46
48,"Jupiter",FALSE,"International Studies",31,4,NA,3.832
49,"Saturn",FALSE,"Music Recording Technology",22,2.132,1123.54888382773,2.075
50,"Jupiter",TRUE,"Surgical Technician",22,4,NA,3.633
51,"Uranus",TRUE,"Web Graphic Design",37,1.004,58.2209856153716,1.147
52,"Saturn",TRUE,"Advanced Manufacturing",41,4,NA,3.857
53,"Jupiter",FALSE,"General Studies - Undecided",22,0,45.2291565885017,0.065
54,"Jupiter",TRUE,"American Sign Language",44,4,NA,4
55,"Neptune",TRUE,"International Studies",27,4,NA,3.212
56,"Jupiter",FALSE,"International Studies",52,3.934,NA,2.93
57,"Jupiter",FALSE,"Music Recording Technology",22,3.575,NA,2.954
58,"Saturn",TRUE,"Physical Therapist Assistant",41,4,NA,4
59,"Jupiter",FALSE,"English Studies",22,4,NA,4
60,"Saturn",TRUE,"International Studies",53,3.404,33929.9141237559,3.513
61,"Jupiter",FALSE,"Dental Hygiene",55,4,258942.294555111,3.96
62,"Mars",TRUE,"Visual Arts Illustration Spec",40,4,NA,3.96
63,"Jupiter",FALSE,"International Studies",21,4,NA,3.9
64,"Jupiter",TRUE,"Engineering/Electrical",21,0,451.477189146639,0.699
65,"Jupiter",FALSE,"Atmospheric Sciences",50,4,NA,3.974
66,"Jupiter",TRUE,"Atmospheric Sciences",22,4,NA,3.441
67,"Saturn",FALSE,"Social Work",25,1.016,545.665615219887,1.901
68,"Jupiter",FALSE,"Exercise Sci/Kinesiology",52,4,NA,3.967
69,"Jupiter",TRUE,"Writing",22,4,NA,3.99
70,"Jupiter",FALSE,"Photography Foundation",22,4,NA,3.29
71,"Jupiter",TRUE,"International Studies",21,2.951,871.764348951438,2.05
72,"Jupiter",FALSE,"Atmospheric Sciences",23,4,NA,3.618
73,"Jupiter",FALSE,"Economics",48,4,NA,3.821
74,"Saturn",FALSE,"Business Administration",23,2.071,4276.4162907919,2.183
75,"Saturn",TRUE,"Business Administration",25,0.488,NA,1.478
76,"Jupiter",FALSE,"Exercise Sci/Kinesiology",21,4,294748.957850755,3.999
77,"Jupiter",FALSE,"Surgical Technician",22,4,NA,3.984
78,"Jupiter",TRUE,"Visual Arts - Photograph Spec",41,1.257,66.8977419769606,0.582
79,"Jupiter",FALSE,"Advanced Manufacturing",22,3.412,33891.1494312513,2.526
80,"Jupiter",FALSE,"Theatre Arts",22,2.827,141395.574585805,3.377
81,"Jupiter",FALSE,"Atmospheric Sciences",18,4,NA,3.237
82,"Jupiter",TRUE,"Technical Apparel Design",21,4,NA,3.93
83,"Jupiter",FALSE,"Journalism Digital Media",24,4,70289.1711480415,3.492
84,"Neptune",FALSE,"Music Recording Technology",38,2.818,27100.1555686987,2.836
85,"Jupiter",FALSE,"Music Recording Technology",42,2.515,14726.8998772971,2.88
86,"Jupiter",FALSE,"Visual Arts Illustration Spec",58,4,NA,3.98
87,"Saturn",FALSE,"Music Recording Technology",26,4,NA,3.647
88,"Jupiter",FALSE,"Music Recording Technology",22,4,NA,4
89,"Saturn",FALSE,"Social Work",21,3.516,27350.4265782923,3.438
90,"Saturn",FALSE,"Visual Arts Illustration Spec",32,0,131.992568642764,1
91,"Jupiter",FALSE,"Music Recording Technology",22,3.242,NA,2.837
92,"Mars",TRUE,"Respiratory Therapy",47,2.817,NA,3.622
93,"Jupiter",FALSE,"Music Recording Technology",41,0,11.7180894665269,0.046
94,"Saturn",FALSE,"Fitness Technician",23,4,NA,3.427
95,"Jupiter",FALSE,"Atmospheric Sciences",22,4,NA,3.539
